Jeremy's Trie, Num procs: 1, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (1,6.98096)
Jeremy's Trie, Num procs: 2, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (2,13.2348)
Jeremy's Trie, Num procs: 3, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (3,18.0046)
Jeremy's Trie, Num procs: 4, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (4,22.0985)
Jeremy's Trie, Num procs: 5, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (5,16.5486)
Jeremy's Trie, Num procs: 6, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (6,15.4342)
Jeremy's Trie, Num procs: 8, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (8,18.397)
Jeremy's Trie, Num procs: 16, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (16,19.0375)
Jeremy's Trie, Num procs: 32, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (32,19.985)
Jeremy's Trie, Num procs: 64, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (64,19.3077)
Jeremy's Trie, Num procs: 128, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (128,13.7368)
Jeremy's Trie, Num procs: 256, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (256,12.2327)
Fomitchev/Ruppert SkipListSet, Num procs: 1, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (1,3.23175)
Fomitchev/Ruppert SkipListSet, Num procs: 2, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (2,6.31487)
Fomitchev/Ruppert SkipListSet, Num procs: 3, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (3,9.23032)
Fomitchev/Ruppert SkipListSet, Num procs: 4, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (4,12.0269)
Fomitchev/Ruppert SkipListSet, Num procs: 5, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (5,13.869)
Fomitchev/Ruppert SkipListSet, Num procs: 6, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (6,16.3756)
Fomitchev/Ruppert SkipListSet, Num procs: 8, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (8,22.1834)
Fomitchev/Ruppert SkipListSet, Num procs: 16, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (16,41.4483)
Fomitchev/Ruppert SkipListSet, Num procs: 32, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (32,78.5673)
Fomitchev/Ruppert SkipListSet, Num procs: 64, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (64,140.837)
Fomitchev/Ruppert SkipListSet, Num procs: 128, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (128,200.138)
Fomitchev/Ruppert SkipListSet, Num procs: 256, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (256,183.068)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 1, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (1,4.5265)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 2, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (2,6.9229)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 3, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (3,10.4947)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 4, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (4,13.7923)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 5, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (5,12.6358)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 6, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (6,13.5274)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 8, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (8,18.0675)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 16, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (16,30.155)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 32, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (32,46.5875)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 64, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (64,58.8221)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 128, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (128,34.5653)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 256, Universe size:1048576, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (256,49.9483)
