Jeremy's Trie, Num procs: 1, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (1,6.3916)
Jeremy's Trie, Num procs: 2, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (2,11.8102)
Jeremy's Trie, Num procs: 3, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (3,16.2704)
Jeremy's Trie, Num procs: 4, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (4,20.0544)
Jeremy's Trie, Num procs: 5, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (5,15.717)
Jeremy's Trie, Num procs: 6, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (6,15.7689)
Jeremy's Trie, Num procs: 8, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (8,18.0078)
Jeremy's Trie, Num procs: 16, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (16,19.923)
Jeremy's Trie, Num procs: 32, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (32,20.0866)
Jeremy's Trie, Num procs: 64, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (64,19.4295)
Jeremy's Trie, Num procs: 128, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (128,13.6413)
Jeremy's Trie, Num procs: 256, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (256,12.8749)
Fomitchev/Ruppert SkipListSet, Num procs: 1, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (1,2.38798)
Fomitchev/Ruppert SkipListSet, Num procs: 2, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (2,4.60869)
Fomitchev/Ruppert SkipListSet, Num procs: 3, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (3,6.80811)
Fomitchev/Ruppert SkipListSet, Num procs: 4, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (4,8.97072)
Fomitchev/Ruppert SkipListSet, Num procs: 5, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (5,10.5899)
Fomitchev/Ruppert SkipListSet, Num procs: 6, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (6,12.0829)
Fomitchev/Ruppert SkipListSet, Num procs: 8, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (8,16.7294)
Fomitchev/Ruppert SkipListSet, Num procs: 16, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (16,31.4631)
Fomitchev/Ruppert SkipListSet, Num procs: 32, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (32,57.95)
Fomitchev/Ruppert SkipListSet, Num procs: 64, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (64,100.408)
Fomitchev/Ruppert SkipListSet, Num procs: 128, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (128,125.382)
Fomitchev/Ruppert SkipListSet, Num procs: 256, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (256,120.331)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 1, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (1,3.69047)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 2, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (2,3.79346)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 3, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (3,5.87938)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 4, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (4,8.43184)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 5, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (5,9.19634)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 6, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (6,11.6741)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 8, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (8,15.852)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 16, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (16,29.7949)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 32, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (32,47.6648)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 64, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (64,60.3186)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 128, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (128,38.4102)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 256, Universe size:4194304, Operation ratio: (1:1:1:1) (UniverseSize,Total Throughput in millions): (256,50.598)
