Jeremy's Trie, Num procs: 1, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (1,8.22635)
Jeremy's Trie, Num procs: 2, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (2,17.9675)
Jeremy's Trie, Num procs: 3, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (3,24.4502)
Jeremy's Trie, Num procs: 4, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (4,29.9349)
Jeremy's Trie, Num procs: 5, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (5,21.6491)
Jeremy's Trie, Num procs: 6, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (6,20.6854)
Jeremy's Trie, Num procs: 8, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (8,24.9054)
Jeremy's Trie, Num procs: 16, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (16,25.4082)
Jeremy's Trie, Num procs: 32, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (32,27.3859)
Jeremy's Trie, Num procs: 64, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (64,26.8663)
Jeremy's Trie, Num procs: 128, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (128,19.0158)
Jeremy's Trie, Num procs: 256, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (256,17.3053)
Fomitchev/Ruppert SkipListSet, Num procs: 1, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (1,2.92066)
Fomitchev/Ruppert SkipListSet, Num procs: 2, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (2,5.77592)
Fomitchev/Ruppert SkipListSet, Num procs: 3, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (3,8.46588)
Fomitchev/Ruppert SkipListSet, Num procs: 4, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (4,10.9955)
Fomitchev/Ruppert SkipListSet, Num procs: 5, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (5,12.6014)
Fomitchev/Ruppert SkipListSet, Num procs: 6, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (6,14.6928)
Fomitchev/Ruppert SkipListSet, Num procs: 8, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (8,20.5178)
Fomitchev/Ruppert SkipListSet, Num procs: 16, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (16,37.7821)
Fomitchev/Ruppert SkipListSet, Num procs: 32, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (32,70.5607)
Fomitchev/Ruppert SkipListSet, Num procs: 64, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (64,126.663)
Fomitchev/Ruppert SkipListSet, Num procs: 128, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (128,182.834)
Fomitchev/Ruppert SkipListSet, Num procs: 256, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (256,163.598)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 1, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (1,5.53099)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 2, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (2,7.96403)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 3, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (3,12.2412)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 4, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (4,16.2705)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 5, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (5,14.6237)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 6, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (6,17.1272)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 8, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (8,23.1752)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 16, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (16,39.3303)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 32, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (32,61.676)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 64, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (64,79.5682)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 128, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (128,47.3023)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 256, Universe size:1048576, Operation ratio: (4:1:2:2) (UniverseSize,Total Throughput in millions): (256,67.605)
