Jeremy's Trie, Num procs: 1, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (1,13.2857)
Jeremy's Trie, Num procs: 2, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (2,25.0455)
Jeremy's Trie, Num procs: 3, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (3,36.5302)
Jeremy's Trie, Num procs: 4, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (4,47.4596)
Jeremy's Trie, Num procs: 5, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (5,39.9175)
Jeremy's Trie, Num procs: 6, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (6,41.5713)
Jeremy's Trie, Num procs: 8, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (8,51.0609)
Jeremy's Trie, Num procs: 16, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (16,59.5137)
Jeremy's Trie, Num procs: 32, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (32,67.1311)
Jeremy's Trie, Num procs: 64, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (64,61.2248)
Jeremy's Trie, Num procs: 128, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (128,40.7241)
Jeremy's Trie, Num procs: 256, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (256,35.0673)
Fomitchev/Ruppert SkipListSet, Num procs: 1, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (1,3.51661)
Fomitchev/Ruppert SkipListSet, Num procs: 2, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (2,6.82735)
Fomitchev/Ruppert SkipListSet, Num procs: 3, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (3,10.0391)
Fomitchev/Ruppert SkipListSet, Num procs: 4, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (4,13.0375)
Fomitchev/Ruppert SkipListSet, Num procs: 5, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (5,15.361)
Fomitchev/Ruppert SkipListSet, Num procs: 6, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (6,18.292)
Fomitchev/Ruppert SkipListSet, Num procs: 8, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (8,24.6952)
Fomitchev/Ruppert SkipListSet, Num procs: 16, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (16,45.6847)
Fomitchev/Ruppert SkipListSet, Num procs: 32, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (32,85.921)
Fomitchev/Ruppert SkipListSet, Num procs: 64, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (64,152.787)
Fomitchev/Ruppert SkipListSet, Num procs: 128, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (128,218.349)
Fomitchev/Ruppert SkipListSet, Num procs: 256, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (256,277.226)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 1, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (1,8.95911)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 2, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (2,14.5217)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 3, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (3,22.3879)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 4, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (4,29.8204)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 5, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (5,28.4146)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 6, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (6,33.267)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 8, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (8,42.7801)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 16, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (16,74.222)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 32, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (32,117.845)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 64, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (64,150.756)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 128, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (128,87.8417)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 256, Universe size:1048576, Operation ratio: (1:1:8:0) (UniverseSize,Total Throughput in millions): (256,121.98)
