Jeremy's Trie, Num procs: 1, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (1,6.75096)
Jeremy's Trie, Num procs: 2, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (2,13.8563)
Jeremy's Trie, Num procs: 3, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (3,18.4809)
Jeremy's Trie, Num procs: 4, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (4,22.31)
Jeremy's Trie, Num procs: 5, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (5,14.8196)
Jeremy's Trie, Num procs: 6, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (6,14.8505)
Jeremy's Trie, Num procs: 8, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (8,18.911)
Jeremy's Trie, Num procs: 16, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (16,20.0457)
Jeremy's Trie, Num procs: 32, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (32,22.5902)
Jeremy's Trie, Num procs: 64, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (64,26.072)
Jeremy's Trie, Num procs: 128, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (128,17.6991)
Jeremy's Trie, Num procs: 256, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (256,19.2154)
Fomitchev/Ruppert SkipListSet, Num procs: 1, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (1,3.53845)
Fomitchev/Ruppert SkipListSet, Num procs: 2, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (2,6.84459)
Fomitchev/Ruppert SkipListSet, Num procs: 3, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (3,10.0381)
Fomitchev/Ruppert SkipListSet, Num procs: 4, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (4,13.0797)
Fomitchev/Ruppert SkipListSet, Num procs: 5, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (5,14.9865)
Fomitchev/Ruppert SkipListSet, Num procs: 6, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (6,17.7414)
Fomitchev/Ruppert SkipListSet, Num procs: 8, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (8,24.8375)
Fomitchev/Ruppert SkipListSet, Num procs: 16, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (16,45.7263)
Fomitchev/Ruppert SkipListSet, Num procs: 32, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (32,85.2653)
Fomitchev/Ruppert SkipListSet, Num procs: 64, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (64,152.558)
Fomitchev/Ruppert SkipListSet, Num procs: 128, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (128,220.766)
Fomitchev/Ruppert SkipListSet, Num procs: 256, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (256,111.108)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 1, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (1,4.83705)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 2, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (2,7.15921)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 3, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (3,10.8603)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 4, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (4,14.591)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 5, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (5,13.9022)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 6, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (6,16.17)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 8, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (8,22.6592)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 16, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (16,39.2344)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 32, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (32,62.5491)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 64, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (64,88.61)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 128, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (128,67.1396)
Fatourou and Ruppert's Augmented Static Trie, Num procs: 256, Universe size:1048576, Operation ratio: (1:1:0:8) (UniverseSize,Total Throughput in millions): (256,87.5082)
