Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,8388608,1,1,1,1,Jeremy's Trie,5.000035,0,0,5303000,1060592.6,5303000,1060592.6,5303000,1060592.6,0,5303000,1060592.6,0,1326457,1326457,1326457,1326457,1326703,1326703,1326703,1326703,1325739,662399,1325739,662399,1325739,1325739,662399,662399,1324101,661744,1324101,661744,1324101,1324101,661744,661744
5,1,8388608,1,1,1,1,Jeremy's Trie,5.000011,0,0,5291750,1058347.7,5291750,1058347.7,5291750,1058347.7,0,5291750,1058347.7,0,1323687,1323687,1323687,1323687,1322817,1322817,1322817,1322817,1321395,660751,1321395,660751,1321395,1321395,660751,660751,1323851,662129,1323851,662129,1323851,1323851,662129,662129
5,1,8388608,1,1,1,1,Jeremy's Trie,5.000004,0,0,5287600,1057519.2,5287600,1057519.2,5287600,1057519.2,0,5287600,1057519.2,0,1322210,1322210,1322210,1322210,1319495,1319495,1319495,1319495,1322663,661392,1322663,661392,1322663,1322663,661392,661392,1323232,661675,1323232,661675,1323232,1323232,661675,661675
5,1,8388608,1,1,1,1,Jeremy's Trie,5.000012,0,0,5297650,1059527.5,5297650,1059527.5,5297650,1059527.5,0,5297650,1059527.5,0,1324384,1324384,1324384,1324384,1324892,1324892,1324892,1324892,1324321,662503,1324321,662503,1324321,1324321,662503,662503,1324053,662308,1324053,662308,1324053,1324053,662308,662308
5,1,8388608,1,1,1,1,Jeremy's Trie,5.000002,0,0,5291650,1058329.6,5291650,1058329.6,5291650,1058329.6,0,5291650,1058329.6,0,1323163,1323163,1323163,1323163,1323978,1323978,1323978,1323978,1321855,660653,1321855,660653,1321855,1321855,660653,660653,1322654,661234,1322654,661234,1322654,1322654,661234,661234
5,2,8388608,1,1,1,1,Jeremy's Trie,5.00002,0,21,8864600,1772912.9,4432300,886456.45,4555200,911036.36,2.7728267,4309400,861876.55,2.7728267,2216331,1108165.5,1077853,1138478,2217515,1108757.5,1077293,1140222,2215880,1106937,1107940,553468.5,1076491,1139389,537243,569694,2214874,1107851,1107437,553925.5,1077763,1137111,538884,568967
5,2,8388608,1,1,1,1,Jeremy's Trie,5.000017,0,27,8855400,1771074,4427700,885536.99,4547300,909456.91,2.7011767,4308100,861617.07,2.7011767,2213582,1106791,1078205,1135377,2212395,1106197.5,1075999,1136396,2214701,1107233,1107350.5,553616.5,1076195,1138506,538398,568835,2214722,1107525,1107361,553762.5,1077701,1137021,539009,568516
5,2,8388608,1,1,1,1,Jeremy's Trie,5.000022,0,43,8866750,1773342.2,4433375,886671.1,4558600,911715.99,2.8245975,4308150,861626.21,2.8245975,2219358,1109679,1077415,1141943,2214985,1107492.5,1075745,1139240,2217086,1107938,1108543,553969,1077255,1139831,538649,569289,2215321,1107070,1107660.5,553535,1077735,1137586,538278,568792
5,2,8388608,1,1,1,1,Jeremy's Trie,5.000021,1,2,8851150,1770222.6,4425575,885111.28,4546450,909286.18,2.7312835,4304700,860936.38,2.7312835,2213388,1106694,1077685,1135703,2213925,1106962.5,1076941,1136984,2211100,1106300,1105550,553150,1074626,1136474,537567,568733,2212737,1105749,1106368.5,552874.5,1075448,1137289,537729,568020
5,2,8388608,1,1,1,1,Jeremy's Trie,5.000039,1,6,8872700,1774526.2,4436350,887263.08,4553800,910752.9,2.6474467,4318900,863773.26,2.6474467,2219326,1109663,1080583,1138743,2218616,1109308,1079829,1138787,2218238,1108206,1109119,554103,1080230,1138008,539787,568419,2216520,1107494,1108260,553747,1078258,1138262,538666,568828
5,3,8388608,1,1,1,1,Jeremy's Trie,5.000036,1,10,12366950,2473372.2,4122316.7,824457.4,4200300,840053.95,1.8917356,3976200,795234.27,3.544528,3092069,1030689.7,994426,1050412,3090062,1030020.7,993375,1049321,3093832,1545526,1031277.3,515175.33,995248,1051588,497284,524832,3090987,1545011,1030329,515003.67,993151,1048979,495773,525018
