Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,4194304,1,1,1,1,Jeremy's Trie,5.000026,0,0,6795250,1359042.9,6795250,1359042.9,6795250,1359042.9,0,6795250,1359042.9,0,1700287,1700287,1700287,1700287,1698879,1698879,1698879,1698879,1697471,848829,1697471,848829,1697471,1697471,848829,848829,1698613,848826,1698613,848826,1698613,1698613,848826,848826
5,1,4194304,1,1,1,1,Jeremy's Trie,5.000021,0,0,6813150,1362624.3,6813150,1362624.3,6813150,1362624.3,0,6813150,1362624.3,0,1703123,1703123,1703123,1703123,1702261,1702261,1702261,1702261,1703057,850902,1703057,850902,1703057,1703057,850902,850902,1704709,850888,1704709,850888,1704709,1704709,850888,850888
5,1,4194304,1,1,1,1,Jeremy's Trie,5.000007,0,0,6910050,1382008.1,6910050,1382008.1,6910050,1382008.1,0,6910050,1382008.1,0,1729531,1729531,1729531,1729531,1726455,1726455,1726455,1726455,1728021,863398,1728021,863398,1728021,1728021,863398,863398,1726043,863311,1726043,863311,1726043,1726043,863311,863311
5,1,4194304,1,1,1,1,Jeremy's Trie,5.000026,0,0,6940300,1388052.8,6940300,1388052.8,6940300,1388052.8,0,6940300,1388052.8,0,1734202,1734202,1734202,1734202,1736878,1736878,1736878,1736878,1734456,867147,1734456,867147,1734456,1734456,867147,867147,1734764,866381,1734764,866381,1734764,1734764,866381,866381
5,1,4194304,1,1,1,1,Jeremy's Trie,5.000018,0,0,6936250,1387245,6936250,1387245,6936250,1387245,0,6936250,1387245,0,1734011,1734011,1734011,1734011,1733005,1733005,1733005,1733005,1735983,868325,1735983,868325,1735983,1735983,868325,868325,1733251,866454,1733251,866454,1733251,1733251,866454,866454
5,2,4194304,1,1,1,1,Jeremy's Trie,5.000013,1,25,12233000,2446593.6,6116500,1223296.8,6178150,1235626.8,1.0079294,6054850,1210966.9,1.0079294,3060678,1530339,1514833,1545845,3056955,1528477.5,1511009,1545946,3056918,1528422,1528459,764211,1514870,1542048,757459,770963,3058449,1529392,1529224.5,764696,1514138,1544311,757051,772341
5,2,4194304,1,1,1,1,Jeremy's Trie,5.000024,1,23,12062000,2412388.4,6031000,1206194.2,6083250,1216644.2,0.86635715,5978750,1195744.3,0.86635715,3015626,1507813,1494408,1521218,3014742,1507371,1494601,1520141,3014111,1507500,1507055.5,753750,1494143,1519968,746839,760661,3017521,1508933,1508760.5,754466.5,1495598,1521923,747095,761838
5,2,4194304,1,1,1,1,Jeremy's Trie,5.00001,1,5,12085250,2417045.2,6042625,1208522.6,6106300,1221257.6,1.0537639,5978950,1195787.6,1.0537639,3020151,1510075.5,1494202,1525949,3020524,1510262,1493160,1527364,3023936,1513147,1511968,756573.5,1496584,1527352,748911,764236,3020639,1511384,1510319.5,755692,1495004,1525635,747425,763959
5,2,4194304,1,1,1,1,Jeremy's Trie,5.000034,0,7,12283050,2456593.3,6141525,1228296.6,6201250,1240241.6,0.97247833,6081800,1216351.7,0.97247833,3073381,1536690.5,1521510,1551871,3070450,1535225,1519460,1550990,3069892,1533630,1534946,766815,1520828,1549064,759224,774406,3069327,1534175,1534663.5,767087.5,1520002,1549325,759806,774369
5,2,4194304,1,1,1,1,Jeremy's Trie,5.000016,1,1,12266000,2453192.1,6133000,1226596.1,6198750,1239746,1.0720691,6067250,1213446.1,1.0720691,3066851,1533425.5,1517177,1549674,3064727,1532363.5,1515287,1549440,3067487,1533254,1533743.5,766627,1518417,1549070,759179,774075,3066935,1533699,1533467.5,766849.5,1516369,1550566,758678,775021
