Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,4194304,1,1,1,1,Jeremy's Trie,5.000009,0,0,6378800,1275757.7,6378800,1275757.7,6378800,1275757.7,0,6378800,1275757.7,0,1596795,1596795,1596795,1596795,1592485,1592485,1592485,1592485,1594519,797800,1594519,797800,1594519,1594519,797800,797800,1595001,797578,1595001,797578,1595001,1595001,797578,797578
5,1,4194304,1,1,1,1,Jeremy's Trie,5.000021,0,0,6393900,1278774.6,6393900,1278774.6,6393900,1278774.6,0,6393900,1278774.6,0,1599879,1599879,1599879,1599879,1598431,1598431,1598431,1598431,1597570,799371,1597570,799371,1597570,1597570,799371,799371,1598020,799900,1598020,799900,1598020,1598020,799900,799900
5,1,4194304,1,1,1,1,Jeremy's Trie,5.00003,0,0,6391100,1278212.3,6391100,1278212.3,6391100,1278212.3,0,6391100,1278212.3,0,1596049,1596049,1596049,1596049,1600943,1600943,1600943,1600943,1595790,797942,1595790,797942,1595790,1595790,797942,797942,1598318,799039,1598318,799039,1598318,1598318,799039,799039
5,1,4194304,1,1,1,1,Jeremy's Trie,5.000014,0,0,6403200,1280636.4,6403200,1280636.4,6403200,1280636.4,0,6403200,1280636.4,0,1600577,1600577,1600577,1600577,1600327,1600327,1600327,1600327,1602650,800370,1602650,800370,1602650,1602650,800370,800370,1599646,799427,1599646,799427,1599646,1599646,799427,799427
5,1,4194304,1,1,1,1,Jeremy's Trie,5.000005,0,0,6391000,1278198.7,6391000,1278198.7,6391000,1278198.7,0,6391000,1278198.7,0,1598895,1598895,1598895,1598895,1597090,1597090,1597090,1597090,1596708,798549,1596708,798549,1596708,1596708,798549,798549,1598307,798773,1598307,798773,1598307,1598307,798773,798773
5,2,4194304,1,1,1,1,Jeremy's Trie,5.000033,0,33,11892250,2378434.3,5946125,1189217.2,6029350,1205862,1.399651,5862900,1172572.3,1.399651,2971689,1485844.5,1465829,1505860,2975210,1487605,1467051,1508159,2972017,1487027,1486008.5,743513.5,1463373,1508644,732383,754644,2973334,1486276,1486667,743138,1466647,1506687,733595,752681
5,2,4194304,1,1,1,1,Jeremy's Trie,5.000016,0,33,11758250,2351642.5,5879125,1175821.2,5950500,1190096.2,1.2140412,5807750,1161546.3,1.2140412,2937955,1468977.5,1450783,1487172,2941070,1470535,1452787,1488283,2938705,1469589,1469352.5,734794.5,1451402,1487303,725066,744523,2940520,1469463,1470260,734731.5,1452778,1487742,726552,742911
5,2,4194304,1,1,1,1,Jeremy's Trie,5.00002,0,40,11796250,2359240.6,5898125,1179620.3,5957600,1191515.2,1.0083713,5838650,1167725.3,1.0083713,2948638,1474319,1459669,1488969,2950947,1475473.5,1460230,1490717,2947438,1474073,1473719,737036.5,1457901,1489537,729206,744867,2949227,1474018,1474613.5,737009,1460850,1488377,729806,744212
5,2,4194304,1,1,1,1,Jeremy's Trie,5.000002,0,4,11749150,2349829.1,5874575,1174914.5,5945350,1189069.5,1.204768,5803800,1160759.5,1.204768,2934706,1467353,1449110,1485596,2939795,1469897.5,1453766,1486029,2935065,1467868,1467532.5,733934,1449694,1485371,725553,742315,2939584,1469281,1469792,734640.5,1451230,1488354,725177,744104
5,2,4194304,1,1,1,1,Jeremy's Trie,5.000026,1,4,11855000,2370987.7,5927500,1185493.8,5990850,1198163.8,1.0687474,5864150,1172823.9,1.0687474,2962123,1481061.5,1465003,1497120,2962482,1481241,1464615,1497867,2965662,1483430,1482831,741715,1467758,1497904,733942,749488,2964733,1483440,1482366.5,741720,1466774,1497959,733269,750171
