Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,1,1,1,1,Jeremy's Trie,5.000002,0,0,6400450,1280089.5,6400450,1280089.5,6400450,1280089.5,0,6400450,1280089.5,0,1599270,1599270,1599270,1599270,1601565,1601565,1601565,1601565,1599529,800257,1599529,800257,1599529,1599529,800257,800257,1600086,799968,1600086,799968,1600086,1600086,799968,799968
5,1,1048576,1,1,1,1,Jeremy's Trie,5.000016,0,0,6390950,1278185.9,6390950,1278185.9,6390950,1278185.9,0,6390950,1278185.9,0,1598513,1598513,1598513,1598513,1596295,1596295,1596295,1596295,1598175,799060,1598175,799060,1598175,1598175,799060,799060,1597967,799100,1597967,799100,1597967,1597967,799100,799100
5,1,1048576,1,1,1,1,Jeremy's Trie,5.00001,0,0,6397450,1279487.4,6397450,1279487.4,6397450,1279487.4,0,6397450,1279487.4,0,1600436,1600436,1600436,1600436,1599101,1599101,1599101,1599101,1600115,799393,1600115,799393,1600115,1600115,799393,799393,1597798,798977,1597798,798977,1597798,1597798,798977,798977
5,1,1048576,1,1,1,1,Jeremy's Trie,5.000017,0,0,6400700,1280135.6,6400700,1280135.6,6400700,1280135.6,0,6400700,1280135.6,0,1598808,1598808,1598808,1598808,1598387,1598387,1598387,1598387,1599471,801167,1599471,801167,1599471,1599471,801167,801167,1604034,801809,1604034,801809,1604034,1604034,801809,801809
5,1,1048576,1,1,1,1,Jeremy's Trie,5.000002,0,0,6377450,1275489.5,6377450,1275489.5,6377450,1275489.5,0,6377450,1275489.5,0,1597205,1597205,1597205,1597205,1592771,1592771,1592771,1592771,1593584,797184,1593584,797184,1593584,1593584,797184,797184,1593890,796966,1593890,796966,1593890,1593890,796966,796966
5,2,1048576,1,1,1,1,Jeremy's Trie,5.000024,0,34,10435300,2087050,5217650,1043525,5233900,1046775,0.31144289,5201400,1040275,0.31144289,2610059,1305029.5,1301806,1308253,2608736,1304368,1299388,1309348,2607806,1302796,1303903,651398,1300265,1307541,649558,653238,2608699,1303423,1304349.5,651711.5,1299941,1308758,649580,653843
5,2,1048576,1,1,1,1,Jeremy's Trie,5.000023,0,18,10444450,2088880.4,5222225,1044440.2,5236000,1047195.2,0.26377646,5208450,1041685.2,0.26377646,2613007,1306503.5,1302864,1310143,2608116,1304058,1300456,1307660,2610678,1306802,1305339,653401,1302349,1308329,651593,655209,2612649,1306744,1306324.5,653372,1302781,1309868,651581,655163
5,2,1048576,1,1,1,1,Jeremy's Trie,5.000025,0,1,10444400,2088869.6,5222200,1044434.8,5238350,1047664.8,0.30925664,5206050,1041204.8,0.30925664,2608611,1304305.5,1299372,1309239,2611416,1305708,1302441,1308975,2611673,1305622,1305836.5,652811,1302804,1308869,651407,654215,2612700,1305597,1306350,652798.5,1301433,1311267,650400,655197
5,2,1048576,1,1,1,1,Jeremy's Trie,5.00003,1,0,10444500,2088887.5,5222250,1044443.7,5235350,1047063.7,0.25084973,5209150,1041823.7,0.25084973,2610439,1305219.5,1302343,1308096,2612887,1306443.5,1302846,1310041,2609460,1304165,1304730,652082.5,1302391,1307069,651105,653060,2611714,1304476,1305857,652238,1301570,1310144,650475,654001
5,2,1048576,1,1,1,1,Jeremy's Trie,5.000005,0,8,10457950,2091587.9,5228975,1045794,5237900,1047579,0.17068355,5220050,1044009,0.17068355,2615420,1307710,1304965,1310455,2616119,1308059.5,1306417,1309702,2612138,1306435,1306069,653217.5,1303770,1308368,652448,653987,2614273,1306295,1307136.5,653147.5,1304898,1309375,652590,653705
