Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,1,1,1,1,Jeremy's Trie,5.00001,0,0,5163550,1032707.9,5163550,1032707.9,5163550,1032707.9,0,5163550,1032707.9,0,1291223,1291223,1291223,1291223,1292217,1292217,1292217,1292217,1289430,644528,1289430,644528,1289430,1289430,644528,644528,1290680,645456,1290680,645456,1290680,1290680,645456,645456
5,1,1048576,1,1,1,1,Jeremy's Trie,5.000053,0,0,5358400,1071668.6,5358400,1071668.6,5358400,1071668.6,0,5358400,1071668.6,0,1338830,1338830,1338830,1338830,1338054,1338054,1338054,1338054,1342126,670250,1342126,670250,1342126,1342126,670250,670250,1339390,670566,1339390,670566,1339390,1339390,670566,670566
5,1,1048576,1,1,1,1,Jeremy's Trie,5.000024,0,0,5427450,1085484.8,5427450,1085484.8,5427450,1085484.8,0,5427450,1085484.8,0,1357660,1357660,1357660,1357660,1354945,1354945,1354945,1354945,1357927,678485,1357927,678485,1357927,1357927,678485,678485,1356918,678678,1356918,678678,1356918,1356918,678678,678678
5,1,1048576,1,1,1,1,Jeremy's Trie,5.000013,0,0,5500350,1100067.1,5500350,1100067.1,5500350,1100067.1,0,5500350,1100067.1,0,1374663,1374663,1374663,1374663,1375475,1375475,1375475,1375475,1374910,687172,1374910,687172,1374910,1374910,687172,687172,1375302,686825,1375302,686825,1375302,1375302,686825,686825
5,1,1048576,1,1,1,1,Jeremy's Trie,5.000038,0,0,5585050,1117001.5,5585050,1117001.5,5585050,1117001.5,0,5585050,1117001.5,0,1395992,1395992,1395992,1395992,1394168,1394168,1394168,1394168,1397565,699103,1397565,699103,1397565,1397565,699103,699103,1397325,698698,1397325,698698,1397325,1397325,698698,698698
5,2,1048576,1,1,1,1,Jeremy's Trie,5.000013,7,5,11419250,2283844.1,5709625,1141922,5734850,1146967,0.44179784,5684400,1136877,0.44179784,2853801,1426900.5,1422116,1431685,2854154,1427077,1419835,1434319,2855773,1429122,1427886.5,714561,1421072,1434701,711314,717808,2855522,1428267,1427761,714133.5,1421377,1434145,711023,717244
5,2,1048576,1,1,1,1,Jeremy's Trie,5.00002,0,30,11474950,2294980.8,5737475,1147490.4,5754100,1150815.4,0.28976161,5720850,1144165.4,0.28976161,2868292,1434146,1431692,1436600,2868216,1434108,1428697,1439519,2869368,1434807,1434684,717403.5,1430402,1438966,714993,719814,2869074,1434285,1434537,717142.5,1430059,1439015,714254,720031
5,2,1048576,1,1,1,1,Jeremy's Trie,5.000014,0,15,11560400,2312073.5,5780200,1156036.8,5786350,1157266.8,0.1063977,5774050,1154806.8,0.1063977,2891327,1445663.5,1444001,1447326,2890059,1445029.5,1444253,1445806,2887803,1444377,1443901.5,722188.5,1442015,1445788,720934,723443,2891211,1444551,1445605.5,722275.5,1443781,1447430,721766,722785
5,2,1048576,1,1,1,1,Jeremy's Trie,5.000025,1,13,11743500,2348688.3,5871750,1174344.1,5872450,1174484.1,0.011921488,5871050,1174204.1,0.011921488,2934708,1467354,1467011,1467697,2935351,1467675.5,1466583,1468768,2937175,1468442,1468587.5,734221,1467987,1469188,733717,734725,2936266,1468646,1468133,734323,1466797,1469469,733776,734870
5,2,1048576,1,1,1,1,Jeremy's Trie,5.000016,0,26,11886000,2377192.4,5943000,1188596.2,5945700,1189136.2,0.0454316,5940300,1188056.2,0.0454316,2973950,1486975,1486919,1487031,2969856,1484928,1484833,1485023,2971362,1486536,1485681,743268,1484699,1486663,742730,743806,2970832,1486491,1485416,743245.5,1483737,1487095,742432,744059
5,3,1048576,1,1,1,1,Jeremy's Trie,4.998052,3969,22,10821800,2165203.6,3607266.7,721734.52,3887800,777863.06,7.7768948,3065400,613318.95,15.021531,2703232,901077.33,765367,972030,2705815,901938.33,765824,972206,2707128,1352754,902376,450918,767142,971293,383831,485452,2705625,1352603,901875,450867.67,767067,972271,383423,486056
5,3,1048576,1,1,1,1,Jeremy's Trie,4.999523,1003,41,10897300,2179667.9,3632433.3,726555.98,3921600,784394.83,7.9606875,3138900,627839.9,13.586852,2722901,907633.67,783953,979896,2724584,908194.67,786360,979690,2723788,1361935,907929.33,453978.33,784813,980033,392452,490287,2726027,1362481,908675.67,454160.33,783774,981981,392214,490921
5,3,1048576,1,1,1,1,Jeremy's Trie,4.998032,3972,35,10493850,2099596.4,3497950,699865.47,3799000,760099.18,8.6064695,2945700,589371.98,15.787819,2623735,874578.33,736947,950914,2623804,874601.33,736085,949976,2620531,1311744,873510.33,437248,735333,948463,368379,474343,2625780,1311887,875260,437295.67,737335,949647,368367,474296
5,3,1048576,1,1,1,1,Jeremy's Trie,4.999531,1002,19,10897800,2179764.5,3632600,726588.15,3925900,785253.66,8.0741067,3131550,626368.75,13.793151,2724379,908126.33,781959,981938,2724581,908193.67,783564,981035,2726103,1362653,908701,454217.67,784006,981425,391975,490202,2722737,1361687,907579,453895.67,782021,981502,391359,490801
