Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,8,2,4,4,Jeremy's Trie,5.000016,0,0,10618700,2123733.2,10618700,2123733.2,10618700,2123733.2,0,10618700,2123733.2,0,2359703,2359703,2359703,2359703,2361124,2361124,2361124,2361124,4719130,943452,4719130,943452,4719130,4719130,943452,943452,1178743,943199,1178743,943199,1178743,1178743,943199,943199
5,1,1048576,8,2,4,4,Jeremy's Trie,5.000012,0,0,10671600,2134314.9,10671600,2134314.9,10671600,2134314.9,0,10671600,2134314.9,0,2370317,2370317,2370317,2370317,2372354,2372354,2372354,2372354,4740784,950236,4740784,950236,4740784,4740784,950236,950236,1188145,950744,1188145,950744,1188145,1188145,950744,950744
5,1,1048576,8,2,4,4,Jeremy's Trie,5.000008,0,0,10666550,2133306.6,10666550,2133306.6,10666550,2133306.6,0,10666550,2133306.6,0,2369876,2369876,2369876,2369876,2370261,2370261,2370261,2370261,4740283,948432,4740283,948432,4740283,4740283,948432,948432,1186130,948531,1186130,948531,1186130,1186130,948531,948531
5,1,1048576,8,2,4,4,Jeremy's Trie,5.000014,0,0,10680200,2136034,10680200,2136034,10680200,2136034,0,10680200,2136034,0,2373134,2373134,2373134,2373134,2373977,2373977,2373977,2373977,4745150,949962,4745150,949962,4745150,4745150,949962,949962,1187939,950178,1187939,950178,1187939,1187939,950178,950178
5,1,1048576,8,2,4,4,Jeremy's Trie,5.00002,0,0,10671000,2134191.5,10671000,2134191.5,10671000,2134191.5,0,10671000,2134191.5,0,2371168,2371168,2371168,2371168,2372028,2372028,2372028,2372028,4741223,949100,4741223,949100,4741223,4741223,949100,949100,1186581,948738,1186581,948738,1186581,1186581,948738,948738
5,2,1048576,8,2,4,4,Jeremy's Trie,5.000021,0,2,18488200,3697624.5,9244100,1848812.2,9270750,1854142.2,0.28829199,9217450,1843482.3,0.28829199,4107332,2053666,2048567,2058765,4107002,2053501,2046270,2060732,8219831,1642959,4109915.5,821479.5,4098584,4121247,819146,823813,2054035,1643779,1027017.5,821889.5,1024029,1030006,819531,824248
5,2,1048576,8,2,4,4,Jeremy's Trie,5.000017,1,15,18480550,3696097.4,9240275,1848048.7,9263650,1852723.7,0.25296866,9216900,1843373.7,0.25296866,4103581,2051790.5,2048070,2055511,4108034,2054017,2048701,2059333,8215174,1643042,4107587,821521,4096020,4119154,820019,823023,2053761,1642671,1026880.5,821335.5,1024109,1029652,819003,823668
5,2,1048576,8,2,4,4,Jeremy's Trie,5.000018,0,12,18481500,3696286.7,9240750,1848143.3,9269350,1853863.3,0.30949869,9212150,1842423.4,0.30949869,4104549,2052274.5,2045819,2058730,4108013,2054006.5,2047376,2060637,8217331,1642403,4108665.5,821201.5,4096974,4120357,819036,823367,2051607,1642188,1025803.5,821094,1021981,1029626,818402,823786
5,2,1048576,8,2,4,4,Jeremy's Trie,5.000015,1,2,18447650,3689518.9,9223825,1844759.5,9250650,1850124.4,0.29082295,9197000,1839394.5,0.29082295,4101780,2050890,2043372,2058408,4103349,2051674.5,2045235,2058114,8194249,1638549,4097124.5,819274.5,4086879,4107370,817571,820978,2048272,1637842,1024136,818921,1021514,1026758,817130,820712
5,2,1048576,8,2,4,4,Jeremy's Trie,5.000018,0,3,18481900,3696366.7,9240950,1848183.3,9265150,1853023.3,0.26187784,9216750,1843343.4,0.26187784,4107762,2053881,2050336,2057426,4107115,2053557.5,2046489,2060626,8212854,1643677,4106427,821838.5,4095299,4117555,818902,824775,2054169,1643638,1027084.5,821819,1024626,1029543,819675,823963
5,3,1048576,8,2,4,4,Jeremy's Trie,5.00002,1,17,25023850,5004750,8341283.3,1668250,8367300,1673453.3,0.31190245,8326700,1665333.3,0.17483321,5562305,1854101.7,1851982,1857991,5557794,1852598,1847872,1860094,11122526,2224669,3707508.7,741556.33,3701422,3718484,740340,743314,2781225,2225015,927075,741671.67,925074,930731,739687,744566
5,3,1048576,8,2,4,4,Jeremy's Trie,5.000009,1,14,25069150,5013821,8356383.3,1671273.7,8403850,1680767,0.56802883,8327650,1665527,0.34384891,5572393,1857464.3,1850428,1869230,5571238,1857079.3,1850919,1867981,11140260,2228927,3713420,742975.67,3702023,3733209,740873,746302,2785259,2229378,928419.67,743126,924280,933430,740053,746993
5,3,1048576,8,2,4,4,Jeremy's Trie,5.000007,1,10,25113950,5022783,8371316.7,1674261,8399600,1679917.6,0.33786003,8340650,1668127.7,0.36633027,5581817,1860605.7,1853822,1866777,5577665,1859221.7,1853525,1864676,11160450,2234601,3720150,744867,3706546,3732655,741849,747882,2794018,2234303,931339.33,744767.67,926757,935492,741430,747632
5,3,1048576,8,2,4,4,Jeremy's Trie,5.000011,0,6,25060200,5012029,8353400,1670676.3,8369800,1673956.3,0.19632724,8328750,1665746.3,0.29508942,5567552,1855850.7,1850071,1859595,5568488,1856162.7,1851598,1860082,11138655,2228532,3712885,742844,3700805,3719492,740816,744565,2785505,2228253,928501.67,742751,926276,930631,741197,744190
5,3,1048576,8,2,4,4,Jeremy's Trie,5.000019,1,14,25042850,5008551,8347616.7,1669517,8402400,1680473.6,0.65627514,8318700,1663733.7,0.34640626,5566135,1855378.3,1847990,1867373,5562101,1854033.7,1846110,1864613,11130201,2227286,3710067,742428.67,3696713,3735110,739339,747750,2784413,2226961,928137.67,742320.33,924004,935304,738477,748190
5,4,1048576,8,2,4,4,Jeremy's Trie,5.000016,0,13,30556700,6111320.4,7639175,1527830.1,7670650,1534125.1,0.41202093,7592300,1518455.1,0.61361338,6790986,1697746.5,1686434,1705208,6791968,1697992,1687277,1704884,13579218,2714146,3394804.5,678536.5,3375939,3408467,674717,680510,3394528,2714463,848632,678615.75,842650,852091,673983,681130
5,4,1048576,8,2,4,4,Jeremy's Trie,5.00002,0,7,30486150,6097205.6,7621537.5,1524301.4,7659200,1531833.9,0.49415882,7558500,1511694,0.82709689,6771354,1692838.5,1679153,1701075,6773509,1693377.2,1679598,1701623,13553097,2709392,3388274.2,677348,3359679,3405393,671185,681685,3388190,2709704,847047.5,677426,840070,851270,671359,680906
5,4,1048576,8,2,4,4,Jeremy's Trie,5.000024,1,9,30534550,6106880.7,7633637.5,1526720.2,7642700,1528532.7,0.11871798,7622750,1524542.7,0.14262532,6782897,1695724.2,1693099,1698140,6791118,1697779.5,1694514,1701762,13568087,2713966,3392021.8,678491.5,3387728,3396612,677626,679836,3392448,2713984,848112,678496,847306,849197,677718,679478
5,4,1048576,8,2,4,4,Jeremy's Trie,5.000013,1,14,30472550,6094494.2,7618137.5,1523623.5,7699700,1539936,1.0706357,7551150,1510226.1,0.87931597,6774605,1693651.2,1681244,1711538,6770861,1692715.2,1676274,1711956,13543263,2707783,3385815.8,676945.75,3355065,3421961,671123,684672,3383821,2707851,845955.25,676962.75,838567,854245,671131,683755
5,4,1048576,8,2,4,4,Jeremy's Trie,5.000013,0,7,30542650,6108514.1,7635662.5,1527128.5,7661800,1532356,0.34230821,7616300,1523256,0.25357983,6789186,1697296.5,1694111,1703114,6789802,1697450.5,1692350,1703458,13571623,2713644,3392905.8,678411,3383388,3404901,675292,681762,3392039,2713958,848009.75,678489.5,845637,850327,677019,679925
5,5,1048576,8,2,4,4,Jeremy's Trie,5.000798,11993,10600,18096550,3618732.5,3619310,723746.49,4897250,979293.7,35.30894,1684900,336926.23,53.446928,4022813,804562.6,374124,1087869,4022948,804589.6,375634,1088851,8040876,1607120,1608175.2,321424,747902,2176952,149478,435297,2009913,1607474,401982.6,321494.8,187240,543578,149803,434885
5,5,1048576,8,2,4,4,Jeremy's Trie,5.00455,88,9173,18109900,3618687,3621980,723737.4,4878800,974872.87,34.699805,1678250,335344.84,53.664846,4028145,805629,373157,1084788,4027424,805484.8,372783,1085510,8042842,1608188,1608568.4,321637.6,745914,2167060,149388,433084,2011489,1608871,402297.8,321774.2,186396,541442,148934,433328
5,5,1048576,8,2,4,4,Jeremy's Trie,4.999981,73,29,22327350,4465487,4465470,893097.39,5113500,1022703.9,14.512022,2646600,529322.01,40.731883,4963436,992687.2,587291,1136238,4966249,993249.8,589241,1136766,9918520,1983308,1983704,396661.6,1175906,2273141,235521,454091,2479145,1982901,495829,396580.2,294162,567355,235484,453806
5,5,1048576,8,2,4,4,Jeremy's Trie,4.996019,8019,41,23320050,4667726.4,4664010,933545.29,5343400,1069531.6,14.56665,2740250,548486.71,41.24691,5185864,1037172.8,609367,1189495,5183067,1036613.4,609535,1187523,10360999,2071276,2072199.8,414255.2,1216961,2373612,243036,472927,2590120,2071410,518024,414282,304387,592770,243400,474629
5,5,1048576,8,2,4,4,Jeremy's Trie,5.004874,68,9803,18239850,3644417.4,3647970,728883.48,4956700,990374.58,35.875569,1744650,348590.19,52.174771,4050556,810111.2,387918,1100895,4051583,810316.6,388307,1099924,8109181,1622274,1621836.2,324454.8,775565,2204257,155452,441221,2028530,1622637,405706,324527.4,192860,551624,154203,441112
