Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,1,1,8,0,Jeremy's Trie,5.000011,0,0,13217050,2643404.2,13217050,2643404.2,13217050,2643404.2,0,13217050,2643404.2,0,0,0,0,0,10572532,10572532,10572532,10572532,1323185,661444,1323185,661444,1323185,1323185,661444,661444,1321333,660746,1321333,660746,1321333,1321333,660746,660746
5,1,1048576,1,1,8,0,Jeremy's Trie,5.000014,0,0,13295300,2659052.6,13295300,2659052.6,13295300,2659052.6,0,13295300,2659052.6,0,0,0,0,0,10637898,10637898,10637898,10637898,1329284,663437,1329284,663437,1329284,1329284,663437,663437,1328118,663525,1328118,663525,1328118,1328118,663525,663525
5,1,1048576,1,1,8,0,Jeremy's Trie,5.000002,0,0,13287250,2657448.9,13287250,2657448.9,13287250,2657448.9,0,13287250,2657448.9,0,0,0,0,0,10628369,10628369,10628369,10628369,1330092,665033,1330092,665033,1330092,1330092,665033,665033,1328789,664753,1328789,664753,1328789,1328789,664753,664753
5,1,1048576,1,1,8,0,Jeremy's Trie,5.000026,0,0,13303950,2660776.2,13303950,2660776.2,13303950,2660776.2,0,13303950,2660776.2,0,0,0,0,0,10641791,10641791,10641791,10641791,1331673,665338,1331673,665338,1331673,1331673,665338,665338,1330486,665263,1330486,665263,1330486,1330486,665263,665263
5,1,1048576,1,1,8,0,Jeremy's Trie,5.00002,0,0,13324700,2664929.3,13324700,2664929.3,13324700,2664929.3,0,13324700,2664929.3,0,0,0,0,0,10659619,10659619,10659619,10659619,1331515,665108,1331515,665108,1331515,1331515,665108,665108,1333566,665694,1333566,665694,1333566,1333566,665694,665694
5,2,1048576,1,1,8,0,Jeremy's Trie,5.00001,1,1,25062650,5012520,12531325,2506260,12531550,2506305,0.0017955005,12531100,2506215,0.0017955005,0,0,0,0,20050646,10025323,10024365,10026281,2506804,1254247,1253402,627123.5,1253270,1253534,626901,627346,2505200,1253346,1252600,626673,1251285,1253915,625601,627745
5,2,1048576,1,1,8,0,Jeremy's Trie,5.000009,0,6,25025850,5005161,12512925,2502580.5,12561500,2512295.5,0.3881986,12464350,2492865.5,0.3881986,0,0,0,0,20018742,10009371,9970213,10048529,2502733,1253010,1251366.5,626505,1246887,1255846,623748,629262,2504375,1252399,1252187.5,626199.5,1247250,1257125,623284,629115
5,2,1048576,1,1,8,0,Jeremy's Trie,5.00001,0,17,25003500,5000690,12501750,2500345,12549850,2509965,0.38474614,12453650,2490725,0.38474614,0,0,0,0,20005358,10002679,9964519,10040839,2499677,1248904,1249838.5,624452,1245973,1253704,622063,626841,2498465,1248640,1249232.5,624320,1243158,1255307,620811,627829
5,2,1048576,1,1,8,0,Jeremy's Trie,5.000015,0,16,25065100,5013005,12532550,2506502.5,12580650,2516122.5,0.38380058,12484450,2496882.5,0.38380058,0,0,0,0,20054071,10027036,9986660,10067411,2506714,1253090,1253357,626545,1249370,1257344,624925,628165,2504315,1252819,1252157.5,626409.5,1248420,1255895,624828,627991
5,2,1048576,1,1,8,0,Jeremy's Trie,5.000004,1,2,25070650,5014126,12535325,2507063,12548750,2509748,0.10709734,12521900,2504378,0.10709734,0,0,0,0,20052601,10026300,10015396,10037205,2508642,1255451,1254321,627725.5,1252803,1255839,626582,628869,2509407,1254530,1254703.5,627265,1253701,1255706,626342,628188
