Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000014,0,0,7874300,1574855.6,7874300,1574855.6,7874300,1574855.6,0,7874300,1574855.6,0,3150295,3150295,3150295,3150295,3148163,3148163,3148163,3148163,786855,393740,786855,393740,786855,786855,393740,393740,788987,393916,788987,393916,788987,788987,393916,393916
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000007,0,0,7880900,1576177.8,7880900,1576177.8,7880900,1576177.8,0,7880900,1576177.8,0,3153398,3153398,3153398,3153398,3152037,3152037,3152037,3152037,787266,393497,787266,393497,787266,787266,393497,393497,788199,393450,788199,393450,788199,788199,393450,393450
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000007,0,0,7897050,1579407.8,7897050,1579407.8,7897050,1579407.8,0,7897050,1579407.8,0,3158762,3158762,3158762,3158762,3159092,3159092,3159092,3159092,789476,393918,789476,393918,789476,789476,393918,393918,789720,394465,789720,394465,789720,789720,394465,394465
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000016,0,0,7897600,1579514.9,7897600,1579514.9,7897600,1579514.9,0,7897600,1579514.9,0,3158883,3158883,3158883,3158883,3158566,3158566,3158566,3158566,790364,394511,790364,394511,790364,790364,394511,394511,789787,394530,789787,394530,789787,789787,394530,394530
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000027,0,0,7903300,1580651.5,7903300,1580651.5,7903300,1580651.5,0,7903300,1580651.5,0,3161818,3161818,3161818,3161818,3159321,3159321,3159321,3159321,791235,395284,791235,395284,791235,791235,395284,395284,790926,395100,790926,395100,790926,790926,395100,395100
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000029,1,11,13648100,2729604.2,6824050,1364802.1,6840850,1368162.1,0.24618811,6807250,1361442.1,0.24618811,5454025,2727012.5,2720867,2733158,5461795,2730897.5,2723516,2738279,1366394,682860,683197,341430,681818,684576,340363,342497,1365886,683436,682943,341718,681049,684837,341102,342334
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000014,0,4,13622700,2724532.4,6811350,1362266.2,6829300,1365856.2,0.26353072,6793400,1358676.2,0.26353072,5447271,2723635.5,2715344,2731927,5448582,2724291,2717467,2731115,1363187,682412,681593.5,341206,679423,683764,339777,342635,1363660,682288,681830,341144,681166,682494,340637,341651
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000019,1,5,13693500,2738689.6,6846750,1369344.8,6862150,1372424.8,0.22492423,6831350,1366264.8,0.22492423,5476363,2738181.5,2731871,2744492,5478473,2739236.5,2733944,2744529,1369397,684134,684698.5,342067,682472,686925,340850,343284,1369267,684081,684633.5,342040.5,683063,686204,341180,342901
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000006,1,1,13622750,2724546.7,6811375,1362273.4,6830000,1365998.4,0.27343965,6792750,1358548.4,0.27343965,5451323,2725661.5,2717980,2733343,5447380,2723690,2717331,2730049,1361550,681068,680775,340534,678556,682994,339175,341893,1362497,681344,681248.5,340672,678883,683614,339263,342081
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000032,1,8,13689850,2737952.5,6844925,1368976.2,6868150,1373621.2,0.33930248,6821700,1364331.3,0.33930248,5475905,2737952.5,2729407,2746498,5477894,2738947,2729972,2747922,1368018,684321,684009,342160.5,681142,686876,340339,343982,1368033,684061,684016.5,342030.5,681179,686854,340331,343730
