Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,2,8,2,2,Jeremy's Trie,5.000005,0,0,5420650,1084128.9,5420650,1084128.9,5420650,1084128.9,0,5420650,1084128.9,0,773707,773707,773707,773707,774461,774461,774461,774461,774524,619412,774524,619412,774524,774524,619412,619412,3097958,619440,3097958,619440,3097958,3097958,619440,619440
5,1,1048576,2,8,2,2,Jeremy's Trie,5.000027,0,0,5649500,1129893.9,5649500,1129893.9,5649500,1129893.9,0,5649500,1129893.9,0,806179,806179,806179,806179,806335,806335,806335,806335,808166,646144,808166,646144,808166,808166,646144,646144,3228820,645969,3228820,645969,3228820,3228820,645969,645969
5,1,1048576,2,8,2,2,Jeremy's Trie,5.00002,0,0,5717800,1143555.4,5717800,1143555.4,5717800,1143555.4,0,5717800,1143555.4,0,816865,816865,816865,816865,817477,817477,817477,817477,817434,653521,817434,653521,817434,817434,653521,653521,3266024,653719,3266024,653719,3266024,3266024,653719,653719
5,1,1048576,2,8,2,2,Jeremy's Trie,5.000026,0,0,5865750,1173143.9,5865750,1173143.9,5865750,1173143.9,0,5865750,1173143.9,0,837136,837136,837136,837136,838630,838630,838630,838630,839236,671075,839236,671075,839236,839236,671075,671075,3350748,670412,3350748,670412,3350748,3350748,670412,670412
5,1,1048576,2,8,2,2,Jeremy's Trie,5.000044,0,0,5942050,1188399.5,5942050,1188399.5,5942050,1188399.5,0,5942050,1188399.5,0,849451,849451,849451,849451,847546,847546,847546,847546,848310,678668,848310,678668,848310,848310,678668,678668,3396743,679311,3396743,679311,3396743,3396743,679311,679311
5,2,1048576,2,8,2,2,Jeremy's Trie,5.000027,1,15,11395400,2279067.7,5697700,1139533.8,5805000,1160993.7,1.883216,5590400,1118074,1.883216,1627995,813997.5,798311,829684,1629135,814567.5,799898,829237,1628566,1304055,814283,652027.5,798941,829625,639819,664236,6509704,1303480,3254852,651740,3193250,3316454,639037,664443
5,2,1048576,2,8,2,2,Jeremy's Trie,5.000015,1,22,11620300,2324053,5810150,1162026.5,5866400,1173276.5,0.96813335,5753900,1150776.5,0.96813335,1659429,829714.5,821827,837602,1662549,831274.5,823146,839403,1659237,1327270,829618.5,663635,820548,838689,656721,670549,6639085,1327684,3319542.5,663842,3288379,3350706,658067,669617
5,2,1048576,2,8,2,2,Jeremy's Trie,5.000013,1,18,11706100,2341213.9,5853050,1170607,5943000,1188596.9,1.5368056,5763100,1152617,1.5368056,1670568,835284,822398,848170,1672425,836212.5,823350,849075,1669912,1336428,834956,668214,821868,848044,657775,678653,6693195,1337497,3346597.5,668748.5,3295484,3397711,659166,678331
5,2,1048576,2,8,2,2,Jeremy's Trie,5.00001,1,16,11812250,2362445.3,5906125,1181222.6,5942650,1188527.6,0.61842579,5869600,1173917.7,0.61842579,1687626,843813,839241,848385,1687304,843652,837916,849388,1686482,1349130,843241,674565,837305,849177,670454,678676,6750838,1349196,3375419,674598,3355138,3395700,670042,679154
5,2,1048576,2,8,2,2,Jeremy's Trie,5.000019,0,17,11878450,2375681,5939225,1187840.5,5948800,1189755.5,0.16121632,5929650,1185925.5,0.16121632,1697168,848584,846640,850528,1695208,847604,845861,849347,1696269,1357255,848134.5,678627.5,847605,848664,678325,678930,6789805,1357233,3394902.5,678616.5,3389544,3400261,677473,679760
