Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,1,1,8,0,Jeremy's Trie,5.000012,0,0,12513850,2502764,12513850,2502764,12513850,2502764,0,12513850,2502764,0,0,0,0,0,10007775,10007775,10007775,10007775,1253170,626303,1253170,626303,1253170,1253170,626303,626303,1252905,626131,1252905,626131,1252905,1252905,626131,626131
5,1,1048576,1,1,8,0,Jeremy's Trie,5.000003,0,0,12894800,2578958.5,12894800,2578958.5,12894800,2578958.5,0,12894800,2578958.5,0,0,0,0,0,10313752,10313752,10313752,10313752,1290585,645490,1290585,645490,1290585,1290585,645490,645490,1290463,645390,1290463,645390,1290463,1290463,645390,645390
5,1,1048576,1,1,8,0,Jeremy's Trie,5.000012,0,0,13034700,2606933.7,13034700,2606933.7,13034700,2606933.7,0,13034700,2606933.7,0,0,0,0,0,10428978,10428978,10428978,10428978,1303089,651166,1303089,651166,1303089,1303089,651166,651166,1302633,651032,1302633,651032,1302633,1302633,651032,651032
5,1,1048576,1,1,8,0,Jeremy's Trie,5.000007,0,0,13272100,2654416.3,13272100,2654416.3,13272100,2654416.3,0,13272100,2654416.3,0,0,0,0,0,10618488,10618488,10618488,10618488,1326574,663147,1326574,663147,1326574,1326574,663147,663147,1327038,662947,1327038,662947,1327038,1327038,662947,662947
5,1,1048576,1,1,8,0,Jeremy's Trie,5.000007,0,0,13357200,2671436.3,13357200,2671436.3,13357200,2671436.3,0,13357200,2671436.3,0,0,0,0,0,10686195,10686195,10686195,10686195,1333721,666163,1333721,666163,1333721,1333721,666163,666163,1337284,667283,1337284,667283,1337284,1337284,667283,667283
5,2,1048576,1,1,8,0,Jeremy's Trie,5.000006,0,1,24734350,4946864.1,12367175,2473432,12381650,2476327,0.11704371,12352700,2470537,0.11704371,0,0,0,0,19785072,9892536,9881514,9903558,2475017,1236879,1237508.5,618439.5,1234934,1240083,616720,620159,2474261,1236616,1237130.5,618308,1236252,1238009,617348,619268
5,2,1048576,1,1,8,0,Jeremy's Trie,5.000021,1,1,24906150,4981209.1,12453075,2490604.5,12457450,2491479.5,0.035131885,12448700,2489729.5,0.035131885,0,0,0,0,19925346,9962673,9957606,9967740,2488968,1244618,1244484,622309,1243466,1245502,621107,623511,2491836,1244617,1245918,622308.5,1245592,1246244,621570,623047
5,2,1048576,1,1,8,0,Jeremy's Trie,5.000016,1,8,25048850,5009754,12524425,2504877,12551800,2510352,0.21857291,12497050,2499402,0.21857291,0,0,0,0,20037765,10018882,9997251,10040514,2505488,1252409,1252744,626204.5,1248620,1256868,623989,628420,2505597,1252791,1252798.5,626395.5,1251179,1254418,625589,627202
5,2,1048576,1,1,8,0,Jeremy's Trie,5.00001,1,5,25111100,5022210,12555550,2511105,12593250,2518645,0.30026562,12517850,2503565,0.30026562,0,0,0,0,20088330,10044165,10013433,10074897,2512034,1256932,1256017,628466,1253119,1258915,627307,629625,2510736,1256545,1255368,628272.5,1251298,1259438,627021,629524
5,2,1048576,1,1,8,0,Jeremy's Trie,5.000015,0,1,25223050,5044594.9,12611525,2522297.4,12616950,2523382.4,0.043016209,12606100,2521212.4,0.043016209,0,0,0,0,20178498,10089249,10083222,10095276,2522983,1261083,1261491.5,630541.5,1260414,1262569,630010,631073,2521569,1260567,1260784.5,630283.5,1260309,1261260,630159,630408
5,3,1048576,1,1,8,0,Jeremy's Trie,5.000005,1,8,36750950,7350182.6,12250317,2450060.9,12287300,2457457.5,0.30189696,12204250,2440847.6,0.3760447,0,0,0,0,29401254,9800418,9765309,9830634,3675961,1838555,1225320.3,612851.67,1220026,1228536,610706,614646,3673735,1838282,1224578.3,612760.67,1218915,1228130,609672,615449
5,3,1048576,1,1,8,0,Jeremy's Trie,5.000018,0,10,36893600,7378693.4,12297867,2459564.5,12323050,2464601.1,0.20477806,12279000,2455791.2,0.15341414,0,0,0,0,29516058,9838686,9823501,9857698,3689419,1844936,1229806.3,614978.67,1227155,1233710,613477,617587,3688123,1845287,1229374.3,615095.67,1228137,1231642,614623,615738
5,3,1048576,1,1,8,0,Jeremy's Trie,5.000009,0,10,37033650,7406716.7,12344550,2468905.6,12367750,2473545.5,0.18793719,12325100,2465015.6,0.15755941,0,0,0,0,29626921,9875640.3,9860139,9894566,3700762,1851247,1233587.3,617082.33,1231968,1235663,616117,618601,3705967,1851686,1235322.3,617228.67,1232993,1237521,615568,618503
5,3,1048576,1,1,8,0,Jeremy's Trie,5.000011,1,8,37083850,7416753.7,12361283,2472251.2,12410800,2482154.5,0.40057869,12323750,2464744.6,0.30363622,0,0,0,0,29661975,9887325,9857906,9927965,3708028,1855734,1236009.3,618578,1231132,1241756,616424,620715,3713847,1855977,1237949,618659,1234712,1241079,616245,620802
5,3,1048576,1,1,8,0,Jeremy's Trie,5.000014,1,11,37063600,7412699.2,12354533,2470899.7,12367700,2473533.1,0.10657357,12343550,2468703.1,0.08890124,0,0,0,0,29649745,9883248.3,9875271,9892798,3705957,1853281,1235319,617760.33,1232665,1238062,616042,619481,3707898,1854442,1235966,618147.33,1235444,1236840,616932,619124
5,4,1048576,1,1,8,0,Jeremy's Trie,5.000011,1,5,48005050,9600988.9,12001262,2400247.2,12031500,2406294.7,0.25195266,11977550,2395504.7,0.19758338,0,0,0,0,38399812,9599953,9581890,9624270,4803700,2401335,1200925,600333.75,1198814,1203896,598493,602761,4801538,2401759,1200384.5,600439.75,1196846,1203334,598933,602053
5,4,1048576,1,1,8,0,Jeremy's Trie,5.000007,0,15,48074550,9614896.5,12018638,2403724.1,12067450,2413486.6,0.40614005,11950200,2390036.7,0.56942811,0,0,0,0,38461816,9615454,9562698,9653109,4806053,2402175,1201513.2,600543.75,1194097,1207111,596493,603491,4806681,2402013,1201670.2,600503.25,1193405,1207230,596061,603448
5,4,1048576,1,1,8,0,Jeremy's Trie,5.000012,0,19,48202650,9640506.9,12050662,2410126.7,12095600,2419114.2,0.37290481,12004000,2400794.2,0.38721937,0,0,0,0,38565287,9641321.8,9605039,9679287,4819994,2409757,1204998.5,602439.25,1200526,1207933,600310,604185,4817369,2409033,1204342.2,602258.25,1198435,1208648,599390,604760
5,4,1048576,1,1,8,0,Jeremy's Trie,5.000012,1,8,47972450,9594467,11993112,2398616.7,12061800,2412354.2,0.57272455,11911150,2382224.3,0.68341308,0,0,0,0,38382643,9595660.8,9529057,9651297,4794208,2398007,1198552,599501.75,1190874,1204993,595130,603036,4795599,2398160,1198899.8,599540,1191219,1205510,595112,603280
5,4,1048576,1,1,8,0,Jeremy's Trie,5.000013,1,16,48276300,9655234.9,12069075,2413808.7,12262200,2452433.6,1.6001641,11957600,2391513.8,0.92364162,0,0,0,0,38621605,9655401.2,9565909,9811293,4827124,2413195,1206781,603298.75,1196300,1225322,598436,612761,4827571,2413460,1206892.8,603365,1195391,1225585,597912,611745
5,5,1048576,1,1,8,0,Jeremy's Trie,5.000413,11997,12815,34515850,6902599.8,6903170,1380520,9135350,1826919.1,32.335579,3522200,704381.82,48.977064,0,0,0,0,27614144,5522828.8,2819261,7306610,3449760,1724683,689952,344936.6,351214,915000,175825,457318,3451946,1724510,690389.2,344902,351725,913740,175116,457103
5,5,1048576,1,1,8,0,Jeremy's Trie,4.984015,32008,28,37984800,7621325.4,7596960,1524265.1,9410200,1888076.2,23.867968,4725750,948181.34,37.794197,0,0,0,0,30383318,6076663.6,3778630,7528742,3804265,1901104,760853,380220.8,474065,941796,237575,470164,3797217,1900734,759443.4,380146.8,473055,939662,237130,470102
5,5,1048576,1,1,8,0,Jeremy's Trie,5.005876,30,11775,34201550,6832280.7,6840310,1366456.1,9013900,1800663.9,31.776191,3566250,712412.77,47.864205,0,0,0,0,27360742,5472148.4,2852286,7210892,3418327,1710812,683665.4,342162.4,356341,901653,178184,451421,3422481,1711580,684496.2,342316,357623,902301,179157,451254
5,5,1048576,1,1,8,0,Jeremy's Trie,5.000082,30,182,42591550,8518170.3,8518310,1703634.1,9561450,1912258.6,12.245856,5908550,1181690.6,30.637063,0,0,0,0,34075327,6815065.4,4727688,7648312,4256189,2128733,851237.8,425746.6,590261,956285,294682,478233,4260034,2129035,852006.8,425807,590601,956853,295040,478278
5,5,1048576,1,1,8,0,Jeremy's Trie,4.994897,20004,9788,33793100,6765524.9,6758620,1353105,8981600,1798155.2,32.891034,3492250,699163.57,48.328949,0,0,0,0,27032208,5406441.6,2791796,7186702,3381893,1691462,676378.6,338292.4,350365,898345,175088,450241,3378999,1691068,675799.8,338213.6,350089,896553,175064,448972
5,6,1048576,1,1,8,0,Jeremy's Trie,4.999983,74,24,42794550,8558939.1,7132425,1426489.9,7900650,1580135.4,10.770881,5734600,1146923.9,19.598173,0,0,0,0,34235567,5705927.8,4587725,6317571,4279393,2139683,713232.17,356613.83,573516,791571,287137,395848,4279590,2140270,713265,356711.67,573359,791508,286882,395602
5,6,1048576,1,1,8,0,Jeremy's Trie,5.000011,8,29,44478850,8895750.4,7413141.7,1482625.1,7957950,1591586.5,7.3492233,6333250,1266647.2,14.567261,0,0,0,0,35578052,5929675.3,5067253,6366986,4450071,2224537,741678.5,370756.17,633044,795377,316512,398160,4450727,2224964,741787.83,370827.33,632953,795587,315790,397663
5,6,1048576,1,1,8,0,Jeremy's Trie,5.002837,7999,13663,37122800,7420349.7,6187133.3,1236724.9,7745000,1548121.6,25.179135,4024050,804353.61,34.960994,0,0,0,0,29696757,4949459.5,3218824,6195049,3713053,1857362,618842.17,309560.33,402638,775586,201217,388054,3712990,1856537,618831.67,309422.83,402588,774365,201438,387096
5,6,1048576,1,1,8,0,Jeremy's Trie,5.000016,1,22,43866600,8773291.9,7311100,1462215.3,8007950,1601584.9,9.5313975,6166900,1233376.1,15.650176,0,0,0,0,35097350,5849558.3,4932836,6409276,4384780,2192392,730796.67,365398.67,616793,799691,307817,400452,4384470,2191557,730745,365259.5,617271,798983,308085,399543
5,6,1048576,1,1,8,0,Jeremy's Trie,4.999999,30,27,39107050,7821411.6,6517841.7,1303568.6,7913950,1582790.3,21.419795,4659550,931910.19,28.510844,0,0,0,0,31287031,5214505.2,3726893,6331190,3909326,1954159,651554.33,325693.17,465504,791637,232257,395458,3910693,1953961,651782.17,325660.17,467153,791123,233028,394723
5,8,1048576,1,1,8,0,Jeremy's Trie,5.000013,32,23,51424800,10284933,6428100,1285616.7,6498450,1299686.6,1.0944136,6343850,1268766.7,1.3106517,0,0,0,0,41142248,5142781,5074497,5200342,5139318,2571317,642414.75,321414.62,633697,649887,316947,325155,5143234,2571579,642904.25,321447.38,635542,649291,317223,325116
5,8,1048576,1,1,8,0,Jeremy's Trie,5.000017,1,30,51715350,10343035,6464418.8,1292879.4,6532600,1306515.6,1.0547159,6421900,1284375.6,0.65773508,0,0,0,0,41371547,5171443.4,5137401,5227291,5169431,2585681,646178.88,323210.12,642135,652453,321332,326613,5174372,2585517,646796.5,323189.62,642364,653469,321056,326096
5,8,1048576,1,1,8,0,Jeremy's Trie,5.000014,2,18,52206650,10441301,6525831.2,1305162.6,6615300,1323056.3,1.3709939,6472250,1294446.4,0.82106398,0,0,0,0,41765057,5220632.1,5176805,5291555,5221009,2612029,652626.12,326503.62,646710,661796,323815,331500,5220584,2612086,652573,326510.75,646301,661949,323992,331360
5,8,1048576,1,1,8,0,Jeremy's Trie,5.000017,2,30,52287000,10457364,6535875,1307170.6,6613400,1322675.5,1.1861457,6415100,1283015.6,1.8478781,0,0,0,0,41826272,5228284,5129594,5291217,5230196,2614692,653774.5,326836.5,642868,660563,321873,330248,5230532,2614682,653816.5,326835.25,642638,661620,321585,330917
5,8,1048576,1,1,8,0,Jeremy's Trie,5.000013,1,22,52129850,10425943,6516231.2,1303242.9,6565900,1313176.6,0.76223124,6451750,1290346.6,0.98954821,0,0,0,0,41703492,5212936.5,5161166,5251203,5210199,2606054,651274.88,325756.75,645413,657515,323304,328601,5216159,2606534,652019.88,325816.75,645171,657182,322499,327830
5,16,1048576,1,1,8,0,Jeremy's Trie,5.000026,3,44,60970850,12194107,3810678.1,762131.66,3868850,773765.98,1.5265492,3763100,752616.09,1.2485475,0,0,0,0,48780085,3048755.3,3009476,3095705,6095945,3048562,380996.56,190535.12,376939,386896,188411,193178,6094820,3048631,380926.25,190539.44,376685,386249,188443,193326
5,16,1048576,1,1,8,0,Jeremy's Trie,5.000029,2,46,60421650,12084260,3776353.1,755266.24,3819850,763965.57,1.1518222,3738500,747695.66,1.0023725,0,0,0,0,48331301,3020706.3,2989568,3056067,6046797,3021209,377924.81,188825.56,374772,382405,186797,191359,6043552,3021908,377722,188869.25,373997,381919,186984,191122
5,16,1048576,1,1,8,0,Jeremy's Trie,5.000029,2,48,61237000,12247329,3827312.5,765458.06,3867500,773495.51,1.0500188,3790350,758065.6,0.965756,0,0,0,0,48991878,3061992.4,3032008,3093476,6121602,3060847,382600.12,191302.94,378602,388044,189550,193798,6123520,3059945,382720,191246.56,379465,385980,189357,192871
5,16,1048576,1,1,8,0,Jeremy's Trie,5.000023,2,38,60208450,12041635,3763028.1,752602.16,3792600,758516.51,0.78585315,3735250,747046.56,0.73818542,0,0,0,0,48163395,3010212.2,2987078,3035428,6019641,3011123,376227.56,188195.19,374584,379246,187039,189757,6025414,3011484,376588.38,188217.75,373588,380321,186240,189948
5,16,1048576,1,1,8,0,Jeremy's Trie,5.000028,2,34,60259050,12051743,3766190.6,753233.91,3787450,757485.76,0.56447953,3730500,746095.82,0.94765848,0,0,0,0,48204422,3012776.4,2983932,3029900,6029512,3013738,376844.5,188358.62,373144,380281,186569,190104,6025116,3013901,376569.75,188368.81,373424,378773,187145,189637
5,32,1048576,1,1,8,0,Jeremy's Trie,5.000042,3,81,67580750,13516036,2111898.4,422376.14,2139550,427906.41,1.3093226,2081000,416196.5,1.4630646,0,0,0,0,54066927,1689591.5,1664861,1711307,6757891,3378505,211184.09,105578.28,208272,214315,104310,107071,6755932,3378688,211122.88,105584,207867,213928,103851,106888
5,32,1048576,1,1,8,0,Jeremy's Trie,5.000055,3,98,68817400,13763329,2150543.8,430104.02,2174800,434955.22,1.1279124,2111900,422375.35,1.7969293,0,0,0,0,55048737,1720273,1689108,1740791,6884834,3442603,215151.06,107581.34,211482,217725,105847,108738,6883829,3442195,215119.66,107568.59,211310,217123,105552,108851
5,32,1048576,1,1,8,0,Jeremy's Trie,5.000071,2,113,68368500,13673506,2136515.6,427297.06,2162000,432393.86,1.1928008,2107900,421574.01,1.3393595,0,0,0,0,54698065,1709314.5,1684887,1729408,6837684,3419217,213677.62,106850.53,211179,216648,105696,108746,6832751,3417991,213523.47,106812.22,211255,215944,105937,107677
5,32,1048576,1,1,8,0,Jeremy's Trie,5.000037,3,72,68004200,13600739,2125131.2,425023.1,2147600,429516.82,1.0572876,2105050,421006.88,0.94494164,0,0,0,0,54401696,1700053,1683804,1718036,6799116,3400397,212472.38,106262.41,210387,214712,105186,107347,6803388,3400376,212605.88,106261.75,210274,214970,104937,107134
5,32,1048576,1,1,8,0,Jeremy's Trie,5.000035,3,64,68100200,13619945,2128131.2,425623.27,2150200,430036.99,1.0370014,2103000,420597.06,1.180907,0,0,0,0,54478202,1702443.8,1681966,1720163,6812537,3404003,212891.78,106375.09,210601,215130,105025,107593,6809461,3404304,212795.66,106384.5,210421,214907,105236,107210
5,64,1048576,1,1,8,0,Jeremy's Trie,5.000104,4,200,62277250,12455191,973082.03,194612.36,984150,196825.91,1.1374137,963100,192615.99,1.025816,0,0,0,0,49820261,778441.58,770130,787215,6227871,3113262,97310.484,48644.719,96420,98665,48007,49444,6229118,3114362,97329.969,48661.906,96187,98649,48100,49290
5,64,1048576,1,1,8,0,Jeremy's Trie,5.000109,4,189,62307850,12461298,973560.16,194707.79,989700,197935.69,1.6578168,965700,193135.79,0.80736215,0,0,0,0,49845541,778836.58,772113,792083,6228884,3116721,97326.312,48698.766,96313,99175,48120,49614,6233425,3117279,97397.266,48707.484,96327,98442,48322,49079
5,64,1048576,1,1,8,0,Jeremy's Trie,5.000091,4,148,62345900,12468953,974154.69,194827.39,985800,197156.41,1.1954274,963850,192766.49,1.0578081,0,0,0,0,49877214,779331.47,770420,789026,6233190,3117706,97393.594,48714.156,96325,98653,47847,49473,6235496,3117847,97429.625,48716.359,96488,98643,48193,49142
5,64,1048576,1,1,8,0,Jeremy's Trie,5.000085,3,171,62448050,12489398,975750.78,195146.84,987100,197416.64,1.1631268,963600,192716.72,1.2452751,0,0,0,0,49957620,780587.81,770940,790345,6245681,3122638,97588.766,48791.219,95844,98781,48109,49507,6244749,3121833,97574.203,48778.641,96600,98517,48194,49425
5,64,1048576,1,1,8,0,Jeremy's Trie,5.000086,3,170,62925100,12584804,983204.69,196637.56,996350,199266.57,1.3369864,971350,194266.66,1.2057192,0,0,0,0,50340955,786577.42,776772,797034,6287382,3145115,98240.344,49142.422,96629,99733,48324,49774,6296763,3145368,98386.922,49146.375,97078,99763,48766,49758
5,128,1048576,1,1,8,0,Jeremy's Trie,5.000322,67,700,42903450,8580137.4,335183.2,67032.324,398300,79654.87,18.830537,320450,64085.873,4.3955673,0,0,0,0,34324924,268163.47,256479,318961,4289382,2145089,33510.797,16758.508,31927,40038,15912,20054,4289144,2145057,33508.938,16758.258,32040,39708,16197,19764
5,128,1048576,1,1,8,0,Jeremy's Trie,5.000277,9,515,43578600,8715237.2,340457.81,68087.79,353050,70606.088,3.6986044,328450,65686.361,3.5269605,0,0,0,0,34868228,272408.03,262717,282902,4352928,2177246,34007.25,17009.734,32668,35183,16372,17667,4357444,2178734,34042.531,17021.359,33040,35007,16610,17452
5,128,1048576,1,1,8,0,Jeremy's Trie,5.000279,9,551,43478700,8695254.8,339677.34,67931.678,407650,81525.451,20.010948,322650,64526.399,5.0127994,0,0,0,0,34781123,271727.52,257549,326175,4348127,2174651,33969.742,16989.461,32162,40741,15973,20423,4349450,2175447,33980.078,16995.68,32442,40957,16278,20365
