Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,4,4,1,1,Jeremy's Trie,5.000033,0,0,6599600,1319911.3,6599600,1319911.3,6599600,1319911.3,0,6599600,1319911.3,0,660707,660707,660707,660707,659357,659357,659357,659357,2641249,1319613,2641249,1319613,2641249,2641249,1319613,1319613,2638287,1319266,2638287,1319266,2638287,2638287,1319266,1319266
5,1,1048576,4,4,1,1,Jeremy's Trie,5.000043,0,0,6618550,1323698.6,6618550,1323698.6,6618550,1323698.6,0,6618550,1323698.6,0,660895,660895,660895,660895,661321,661321,661321,661321,2648719,1323797,2648719,1323797,2648719,2648719,1323797,1323797,2647615,1323385,2647615,1323385,2647615,2647615,1323385,1323385
5,1,1048576,4,4,1,1,Jeremy's Trie,5.000003,0,0,6654200,1330839.2,6654200,1330839.2,6654200,1330839.2,0,6654200,1330839.2,0,666494,666494,666494,666494,666021,666021,666021,666021,2660184,1330156,2660184,1330156,2660184,2660184,1330156,1330156,2661501,1330155,2661501,1330155,2661501,2661501,1330155,1330155
5,1,1048576,4,4,1,1,Jeremy's Trie,5.000004,0,0,6636250,1327248.9,6636250,1327248.9,6636250,1327248.9,0,6636250,1327248.9,0,662814,662814,662814,662814,663669,663669,663669,663669,2654325,1328200,2654325,1328200,2654325,2654325,1328200,1328200,2655442,1327684,2655442,1327684,2655442,2655442,1327684,1327684
5,1,1048576,4,4,1,1,Jeremy's Trie,5.000024,0,0,6669800,1333953.6,6669800,1333953.6,6669800,1333953.6,0,6669800,1333953.6,0,667264,667264,667264,667264,667719,667719,667719,667719,2666353,1334794,2666353,1334794,2666353,2666353,1334794,1334794,2668464,1334529,2668464,1334529,2668464,2668464,1334529,1334529
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000031,0,7,11285350,2257056,5642675,1128528,5661000,1132193,0.32475732,5624350,1124863,0.32475732,1129307,564653.5,562651,566656,1127589,563794.5,561687,565902,4514437,2255875,2257218.5,1127937.5,2249111,2265326,1123609,1132266,4514017,2256270,2257008.5,1128135,2250901,2263116,1124998,1131272
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000019,1,26,11274600,2254911.4,5637300,1127455.7,5651650,1130325.7,0.25455449,5622950,1124585.7,0.25455449,1128238,564119,562190,566048,1127608,563804,562283,565325,4508425,2253658,2254212.5,1126829,2249514,2258911,1125770,1127888,4510329,2253691,2255164.5,1126845.5,2248963,2261366,1123796,1129895
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000016,0,3,11264550,2252902.8,5632275,1126451.4,5646400,1129276.4,0.25078676,5618150,1123626.4,0.25078676,1126238,563119,562113,564125,1127564,563782,562039,565525,4507623,2252569,2253811.5,1126284.5,2247533,2260090,1122775,1129794,4503125,2252486,2251562.5,1126243,2246465,2256660,1124176,1128310
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000027,1,30,11310100,2262007.8,5655050,1131003.9,5679550,1135903.9,0.43324109,5630550,1126103.9,0.43324109,1130695,565347.5,562543,568152,1130858,565429,561946,568912,4523527,2263007,2261763.5,1131503.5,2251714,2271813,1125947,1137060,4525020,2262857,2262510,1131428.5,2254347,2270673,1127214,1135643
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000016,0,13,11286500,2257292.8,5643250,1128646.4,5647000,1129396.4,0.06645107,5639500,1127896.4,0.06645107,1127423,563711.5,563569,563854,1128524,564262,562877,565647,4515910,2257629,2257955,1128814.5,2256161,2259749,1127606,1130023,4514643,2257093,2257321.5,1128546.5,2256608,2258035,1128035,1129058
5,3,1048576,4,4,1,1,Jeremy's Trie,5.000019,1,31,14855650,2971118.7,4951883.3,990372.9,4957250,991446.23,0.10837627,4947450,989486.24,0.089528227,1485831,495277,494875,495497,1482795,494265,492835,495350,5944003,2970678,1981334.3,990226,1978735,1984386,989314,991939,5943021,2971873,1981007,990624.33,1978236,1983379,989270,991338
5,3,1048576,4,4,1,1,Jeremy's Trie,5.000011,1,5,14904550,2980903.4,4968183.3,993634.48,4988150,997627.81,0.4018907,4952900,990577.82,0.30762418,1491557,497185.67,496325,498459,1490166,496722,495421,498559,5960126,2982349,1986708.7,994116.33,1979048,1996116,990137,998778,5962701,2981363,1987567,993787.67,1982106,1995016,990870,998313
5,3,1048576,4,4,1,1,Jeremy's Trie,5.000044,0,6,14892700,2978513.8,4964233.3,992837.93,4980450,996081.23,0.32667011,4951150,990221.29,0.26355194,1487737,495912.33,494492,498017,1490341,496780.33,496184,497867,5960075,2978156,1986691.7,992718.67,1981092,1992311,989284,995801,5954547,2978435,1984849,992811.67,1979382,1992255,990318,997344
5,3,1048576,4,4,1,1,Jeremy's Trie,5.000041,1,24,14856250,2971225.6,4952083.3,990408.55,4968550,993701.85,0.33251998,4926650,985321.92,0.51358856,1484082,494694,492484,496894,1485530,495176.67,491580,497524,5943286,2972351,1981095.3,990783.67,1970149,1987603,986333,993448,5943352,2972968,1981117.3,990989.33,1972437,1986529,986055,993914
5,3,1048576,4,4,1,1,Jeremy's Trie,5.000023,1,20,14883900,2976766.3,4961300,992255.44,4965750,993145.43,0.089694233,4955900,991175.44,0.10884244,1489437,496479,495942,497319,1489951,496650.33,495831,497305,5950772,2975641,1983590.7,991880.33,1980986,1985721,990184,993458,5953740,2975047,1984580,991682.33,1982907,1985428,991092,992329
5,4,1048576,4,4,1,1,Jeremy's Trie,5.000038,0,31,17778850,3555743,4444712.5,888935.74,4459550,891903.22,0.33382362,4428550,885703.27,0.36363432,1777887,444471.75,442239,446885,1775526,443881.5,442075,445567,7112068,3555741,1778017,888935.25,1772990,1783613,886200,891737,7113369,3556529,1778342.2,889132.25,1771084,1783485,884489,892818
5,4,1048576,4,4,1,1,Jeremy's Trie,5.000024,0,38,17755500,3551083,4438875,887770.74,4473300,894655.71,0.77553434,4417500,883495.76,0.48154093,1776876,444219,442420,446953,1774817,443704.25,441757,447062,7099037,3551998,1774759.2,887999.5,1765797,1788764,883064,895417,7104770,3552343,1776192.5,888085.75,1767526,1790521,884228,893502
5,4,1048576,4,4,1,1,Jeremy's Trie,5.000026,1,18,17748800,3549741.5,4437200,887435.39,4472750,894545.35,0.80118092,4411350,882265.41,0.5825746,1775866,443966.5,441852,447960,1774093,443523.25,440722,446801,7098513,3549720,1774628.2,887430,1764664,1788994,882781,894425,7100328,3550504,1775082,887626,1764112,1788995,882559,894268
