Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,4,4,1,1,Jeremy's Trie,5.000012,0,0,5394700,1078937.4,5394700,1078937.4,5394700,1078937.4,0,5394700,1078937.4,0,540149,540149,540149,540149,540394,540394,540394,540394,2155445,1078463,2155445,1078463,2155445,2155445,1078463,1078463,2158712,1078576,2158712,1078576,2158712,2158712,1078576,1078576
5,1,1048576,4,4,1,1,Jeremy's Trie,5.00005,0,0,5386250,1077239.2,5386250,1077239.2,5386250,1077239.2,0,5386250,1077239.2,0,538922,538922,538922,538922,538033,538033,538033,538033,2154685,1076349,2154685,1076349,2154685,2154685,1076349,1076349,2154610,1077227,2154610,1077227,2154610,2154610,1077227,1077227
5,1,1048576,4,4,1,1,Jeremy's Trie,5.000041,0,0,5400200,1080031.1,5400200,1080031.1,5400200,1080031.1,0,5400200,1080031.1,0,540860,540860,540860,540860,540066,540066,540066,540066,2160423,1080860,2160423,1080860,2160423,2160423,1080860,1080860,2158851,1080445,2158851,1080445,2158851,2158851,1080445,1080445
5,1,1048576,4,4,1,1,Jeremy's Trie,5.000007,0,0,5411150,1082228.5,5411150,1082228.5,5411150,1082228.5,0,5411150,1082228.5,0,541340,541340,541340,541340,541146,541146,541146,541146,2164617,1081126,2164617,1081126,2164617,2164617,1081126,1081126,2164047,1081587,2164047,1081587,2164047,2164047,1081587,1081587
5,1,1048576,4,4,1,1,Jeremy's Trie,5.000018,0,0,5408800,1081756.1,5408800,1081756.1,5408800,1081756.1,0,5408800,1081756.1,0,540714,540714,540714,540714,541817,541817,541817,541817,2163335,1081857,2163335,1081857,2163335,2163335,1081857,1081857,2162934,1081295,2162934,1081295,2162934,2162934,1081295,1081295
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000027,1,26,8565300,1713050.7,4282650,856525.37,4298700,859735.36,0.37476796,4266600,853315.39,0.37476796,857634,428817,427802,429832,855248,427624,426855,428393,3426077,1713418,1713038.5,856709,1705700,1720377,853770,859648,3426341,1713227,1713170.5,856613.5,1706243,1720098,853872,859355
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000023,0,31,8594150,1718822.1,4297075,859411.05,4305500,861096.04,0.1960636,4288650,857726.05,0.1960636,860843,430421.5,429480,431363,860448,430224,428960,431488,3437224,1718489,1718612,859244.5,1715153,1722071,857248,861241,3435635,1718350,1717817.5,859175,1715057,1720578,857918,860432
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000049,1,22,8603650,1720713.1,4301825,860356.57,4313900,862771.54,0.28069482,4289750,857941.59,0.28069482,860981,430490.5,429073,431908,860613,430306.5,429042,431571,3439698,1721295,1719849,860647.5,1715452,1724246,858490,862805,3442358,1721436,1721179,860718,1716183,1726175,858773,862663
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000024,1,30,8581350,1716261.8,4290675,858130.88,4300800,860155.87,0.23597686,4280550,856105.89,0.23597686,857596,428798,427269,430327,858667,429333.5,428915,429752,3431830,1715631,1715915,857815.5,1711367,1720463,856257,859374,3433257,1715443,1716628.5,857721.5,1712999,1720258,855711,859732
5,2,1048576,4,4,1,1,Jeremy's Trie,5.000034,0,23,8631000,1726188.3,4315500,863094.13,4322050,864404.12,0.15177847,4308950,861784.14,0.15177847,863040,431520,431139,431901,863736,431868,431008,432728,3451322,1725438,1725661,862719,1722390,1728932,860710,864728,3452902,1725439,1726451,862719.5,1724413,1728489,861649,863790
